id,sample,species,sieve,abundance,biomass,trophic.level,richness,mlO2.mg.h
331,mono7-1,Gammarus mucronatus,1.4,1,0.3609,Herbivore,1,4.99E-06
332,6high-2,Gammarus mucronatus,1.4,1,0.3609,Herbivore,6,4.99E-06
333,6high-2,Bittium varium,1.4,3,1.185,Herbivore,6,5.39E-07
334,mono9-2,Bittium varium,1.4,11,4.345,Herbivore,1,4.73E-08
335,3low-3,Gammarus mucronatus,1.4,201,72.5409,Herbivore,3,2.43E-10
336,3low-1,Ampithoe sp.,1.4,240,86.616,Herbivore,3,1.74E-10
337,3high-1,Erichsonella attenuata,1.4,3,1.0827,Herbivore,3,6.38E-07
338,3high-1,Bittium varium,1.4,13,5.135,Herbivore,3,3.46E-08
339,3high-1,Gammarus mucronatus,1.4,1,0.3609,Herbivore,3,4.99E-06
340,mono6-1,Gammarus mucronatus,1.4,1,0.3609,Herbivore,1,4.99E-06
341,poly-4,Bittium varium,1.4,7,2.765,Herbivore,9,1.10E-07
342,poly-4,Erichsonella attenuata,1.4,1,0.3609,Herbivore,9,4.99E-06
343,poly-4,Ampithoe sp.,1.4,13,4.6917,Herbivore,9,4.09E-08
344,poly-4,Gammarus mucronatus,1.4,8,2.8872,Herbivore,9,1.02E-07
345,mono7-4,Bittium varium,1.4,1,0.395,Herbivore,1,4.22E-06
346,mono2-3,Erichsonella attenuata,1.4,4,1.4436,Herbivore,1,3.72E-07
347,mono2-3,Bittium varium,1.4,3,1.185,Herbivore,1,5.39E-07
348,6high-3,Erichsonella attenuata,1.4,3,1.0827,Herbivore,6,6.38E-07
349,6high-3,Bittium varium,1.4,3,1.185,Herbivore,6,5.39E-07
350,6high-3,Ampithoe sp.,1.4,4,1.4436,Herbivore,6,3.72E-07
351,6low-2,Gammarus mucronatus,1.4,1,0.3609,Herbivore,6,4.99E-06
352,mono4-1,Bittium varium,1.4,26,10.27,Herbivore,1,9.44E-09
353,mono4-1,Gammarus mucronatus,1.4,2,0.7218,Herbivore,1,1.36E-06
354,mono4-1,Erichsonella attenuata,1.4,1,0.3609,Herbivore,1,4.99E-06
355,poly-1,Ampithoe sp.,1.4,14,5.0526,Herbivore,9,3.56E-08
356,6low-3,Ampithoe sp.,1.4,1,0.3609,Herbivore,6,4.99E-06
357,3high-2,Bittium varium,1.4,28,11.06,Herbivore,3,8.22E-09
358,3high-2,Gammarus mucronatus,1.4,1,0.3609,Herbivore,3,4.99E-06
359,mono5-3,Bittium varium,1.4,4,1.58,Herbivore,1,3.14E-07
360,mono2-2,Erichsonella attenuata,1.4,17,6.1353,Herbivore,1,2.48E-08
361,mono2-2,Bittium varium,1.4,3,1.185,Herbivore,1,5.39E-07
362,3high-3,Erichsonella attenuata,1.4,5,1.8045,Herbivore,3,2.45E-07
363,mono6-3,Erichsonella attenuata,1.4,5,1.8045,Herbivore,1,2.45E-07
364,3low-2,Gammarus mucronatus,1.4,62,22.3758,Herbivore,3,2.20E-09
365,3low-2,Bittium varium,1.4,14,5.53,Herbivore,3,3.01E-08
366,3high-6,Gammarus mucronatus,1.4,124,44.7516,Herbivore,3,5.99E-10
367,mono4-3,Bittium varium,1.4,30,11.85,Herbivore,1,7.22E-09
368,poly-3,Ampithoe sp.,1.4,14,5.0526,Herbivore,9,3.56E-08
369,poly-3,Bittium varium,1.4,5,1.975,Herbivore,9,0.000000207
370,mono4-6,Bittium varium,1.4,29,11.455,Herbivore,1,7.69E-09
371,mono4-6,Gammarus mucronatus,1.4,1,0.3609,Herbivore,1,4.99E-06
372,mono8-6,Bittium varium,1.4,1,0.395,Herbivore,1,4.22E-06
373,mono7-5,Bittium varium,1.4,6,2.37,Herbivore,1,1.47E-07
374,6low-6,Ampithoe sp.,1.4,51,18.4059,Herbivore,6,3.16E-09
375,6low-6,Gammarus mucronatus,1.4,13,4.6917,Herbivore,6,4.09E-08
376,6low-6,Bittium varium,1.4,5,1.975,Herbivore,6,0.000000207
377,mono9-6,Ampithoe sp.,1.4,1,0.3609,Herbivore,1,4.99E-06
378,6low-4,Erichsonella attenuata,1.4,7,2.5263,Herbivore,6,1.31E-07
379,6low-4,Ampithoe sp.,1.4,2,0.7218,Herbivore,6,1.36E-06
380,poly-6,Gammarus mucronatus,1.4,3,1.0827,Herbivore,9,6.38E-07
381,poly-6,Bittium varium,1.4,2,0.79,Herbivore,9,1.15E-06
382,3high-5,Gammarus mucronatus,1.4,52,18.7668,Herbivore,3,3.05E-09
383,3high-5,Bittium varium,1.4,19,7.505,Herbivore,3,0.000000017
384,mono6-5,Gammarus mucronatus,1.4,1,0.3609,Herbivore,1,4.99E-06
385,3high-4,Bittium varium,1.4,20,7.9,Herbivore,3,1.54E-08
386,3high-4,Ampithoe sp.,1.4,1,0.3609,Herbivore,3,4.99E-06
387,mono2-4,Erichsonella attenuata,1.4,20,7.218,Herbivore,1,1.83E-08
388,mono2-4,Gammarus mucronatus,1.4,2,0.7218,Herbivore,1,1.36E-06
389,mono2-4,Bittium varium,1.4,3,1.185,Herbivore,1,5.39E-07
390,mono2-6,Erichsonella attenuata,1.4,10,3.609,Herbivore,1,6.69E-08
391,mono2-6,Bittium varium,1.4,2,0.79,Herbivore,1,1.15E-06
392,mono6-2,Bittium varium,1.4,13,5.135,Herbivore,1,3.46E-08
393,mono8-2,Bittium varium,1.4,1,0.395,Herbivore,1,4.22E-06
394,mono4-4,Bittium varium,1.4,25,9.875,Herbivore,1,1.02E-08
395,mono4-2,Bittium varium,1.4,29,11.455,Herbivore,1,7.69E-09
396,mono4-2,Ampithoe sp.,1.4,1,0.3609,Herbivore,1,4.99E-06
397,mono4-2,Erichsonella attenuata,1.4,2,0.7218,Herbivore,1,1.36E-06
398,poly-2,Ampithoe sp.,1.4,4,1.4436,Herbivore,9,3.72E-07
399,poly-2,Bittium varium,1.4,5,1.975,Herbivore,9,0.000000207
400,poly-2,Erichsonella attenuata,1.4,1,0.3609,Herbivore,9,4.99E-06
401,poly-2,Gammarus mucronatus,1.4,3,1.0827,Herbivore,9,6.38E-07
402,mono2-1,Erichsonella attenuata,1.4,8,2.8872,Herbivore,1,1.02E-07
403,mono2-1,Gammarus mucronatus,1.4,1,0.3609,Herbivore,1,4.99E-06
404,mono2-1,Bittium varium,1.4,3,1.185,Herbivore,1,5.39E-07
405,mono2-5,Erichsonella attenuata,1.4,16,5.7744,Herbivore,1,2.78E-08
406,mono2-5,Ampithoe sp.,1.4,1,0.3609,Herbivore,1,4.99E-06
407,mono3-4,Ampithoe sp.,1,335,47.905,Herbivore,1,5.28E-10
408,mono3-4,Gammarus mucronatus,1,5,0.715,Herbivore,1,0.000001388
409,mono4-5,Bittium varium,1,13,1.9747,Herbivore,1,0.000000207
410,3low-5,Ampithoe sp.,1,51,7.293,Herbivore,3,1.79E-08
411,3low-5,Ampithoe sp.,1,51,6.292,Herbivore,3,2.36E-08
412,3low-5,Bittium varium,1,4,0.6076,Herbivore,3,1.88E-06
413,3low-5,Bittium varium,1,4,0.6076,Herbivore,3,1.88E-06
414,6high-6,Bittium varium,1,2,0.3038,Herbivore,6,6.90E-06
415,3low-5,Ampithoe sp.,1,44,7.293,Herbivore,3,1.79E-08
416,3low-5,Ampithoe sp.,1,44,6.292,Herbivore,3,2.36E-08
417,3low-5,Bittium varium,1,4,0.6076,Herbivore,3,1.88E-06
418,3low-5,Bittium varium,1,4,0.6076,Herbivore,3,1.88E-06
419,3low-6,Gammarus mucronatus,1,31,4.433,Herbivore,3,4.55E-08
420,6low-5,Ampithoe sp.,1,185,26.455,Herbivore,6,1.60E-09
421,6low-5,Erichsonella attenuata,1,4,0.572,Herbivore,6,2.11E-06
422,6low-5,Gammarus mucronatus,1,65,9.295,Herbivore,6,1.14E-08
423,3low-4,Erichsonella attenuata,1,7,1.001,Herbivore,3,7.39E-07
424,3low-4,Ampithoe sp.,1,206,29.458,Herbivore,3,1.31E-09
425,mono3-5,Ampithoe sp.,1,231,33.033,Herbivore,1,1.06E-09
426,mono1-3,Gammarus mucronatus,1,203,29.029,Herbivore,1,1.35E-09
427,mono1-6,Gammarus mucronatus,1,326,46.618,Herbivore,1,5.55E-10
428,mono1-6,Ampithoe sp.,1,2,0.286,Herbivore,1,7.72E-06
429,mono3-3,Ampithoe sp.,1,302,43.186,Herbivore,1,6.41E-10
430,mono3-3,Bittium varium,1,1,0.1519,Herbivore,1,2.53E-05
431,mono3-1,Ampithoe sp.,1,287,41.041,Herbivore,1,7.05E-10
432,mono3-1,Bittium varium,1,1,0.1519,Herbivore,1,2.53E-05
433,mono1-1,Gammarus mucronatus,1,167,23.881,Herbivore,1,1.94E-09
434,mono3-2,Ampithoe sp.,1,416,59.488,Herbivore,1,3.52E-10
435,mono3-2,Bittium varium,1,1,0.1519,Herbivore,1,2.53E-05
436,mono1-2,Gammarus mucronatus,1,214,30.602,Herbivore,1,1.22E-09
437,mono1-4,Gammarus mucronatus,1,156,22.308,Herbivore,1,2.21E-09
438,mono3-6,Ampithoe sp.,1,368,52.624,Herbivore,1,4.42E-10
439,mono3-6,Bittium varium,1,1,0.1519,Herbivore,1,2.53E-05
440,mono1-5,Gammarus mucronatus,1,267,38.181,Herbivore,1,8.07E-10
441,6high-5,Bittium varium,1,1,0.1519,Herbivore,6,2.53E-05
442,6high-5,Gammarus mucronatus,1,1,0.143,Herbivore,6,2.83E-05
443,6low-1,Gammarus mucronatus,1,4,0.572,Herbivore,6,2.11E-06
444,6low-1,Ampithoe sp.,1,12,1.716,Herbivore,6,2.69E-07
445,mono8-4,Bittium varium,1,1,0.1519,Herbivore,1,2.53E-05
446,mono9-5,Gammarus mucronatus,1,9,1.287,Herbivore,1,4.62E-07
447,mono7-1,Ampithoe sp.,1,102,14.586,Herbivore,1,4.89E-09
448,6high-2,Bittium varium,1,2,0.3038,Herbivore,6,6.90E-06
449,mono9-2,Bittium varium,1,1,0.1519,Herbivore,1,2.53E-05
450,3low-3,Gammarus mucronatus,1,109,15.587,Herbivore,3,4.32E-09
451,3low-1,Ampithoe sp.,1,222,31.746,Herbivore,3,1.14E-09
452,3low-1,Bittium varium,1,9,1.3671,Herbivore,3,4.12E-07
453,3low-1,Gammarus mucronatus,1,1,0.143,Herbivore,3,2.83E-05
454,3high-1,Erichsonella attenuata,1,3,0.429,Herbivore,3,3.61E-06
455,3high-1,Bittium varium,1,12,1.8228,Herbivore,3,2.41E-07
456,poly-4,Bittium varium,1,7,1.0633,Herbivore,9,6.60E-07
457,poly-4,Ampithoe sp.,1,6,0.858,Herbivore,9,9.86E-07
458,poly-4,Gammarus mucronatus,1,2,0.286,Herbivore,9,7.72E-06
459,mono2-3,Erichsonella attenuata,1,3,0.429,Herbivore,1,3.61E-06
460,6high-3,Bittium varium,1,1,0.1519,Herbivore,6,2.53E-05
461,6high-3,Ampithoe sp.,1,1,0.143,Herbivore,6,2.83E-05
462,6low-2,Gammarus mucronatus,1,1,0.143,Herbivore,6,2.83E-05
463,6low-2,Ampithoe sp.,1,1,0.143,Herbivore,6,2.83E-05
464,mono4-1,Bittium varium,1,15,2.2785,Herbivore,1,1.58E-07
465,poly-1,Ampithoe sp.,1,33,4.719,Herbivore,9,4.05E-08
466,6low-3,Erichsonella attenuata,1,1,0.143,Herbivore,6,2.83E-05
467,3high-2,Bittium varium,1,9,1.3671,Herbivore,3,4.12E-07
468,mono2-2,Erichsonella attenuata,1,12,1.716,Herbivore,1,2.69E-07
469,3high-3,Erichsonella attenuata,1,1,0.143,Herbivore,3,2.83E-05
470,3low-2,Gammarus mucronatus,1,26,3.718,Herbivore,3,6.33E-08
471,3low-2,Bittium varium,1,2,0.3038,Herbivore,3,6.90E-06
472,3high-6,Gammarus mucronatus,1,70,10.01,Herbivore,3,9.90E-09
473,mono4-3,Bittium varium,1,22,3.3418,Herbivore,1,7.73E-08
474,poly-3,Ampithoe sp.,1,19,2.717,Herbivore,9,1.14E-07
475,mono4-6,Ampithoe sp.,1,1,0.143,Herbivore,1,2.83E-05
476,mono4-6,Bittium varium,1,15,2.2785,Herbivore,1,1.58E-07
477,mono8-6,Bittium varium,1,2,0.3038,Herbivore,1,6.90E-06
478,mono7-5,Bittium varium,1,2,0.3038,Herbivore,1,6.90E-06
479,6low-6,Ampithoe sp.,1,25,3.575,Herbivore,6,6.81E-08
480,6low-6,Gammarus mucronatus,1,2,0.286,Herbivore,6,7.72E-06
481,6low-6,Bittium varium,1,2,0.3038,Herbivore,6,6.90E-06
482,6low-4,Erichsonella attenuata,1,4,0.572,Herbivore,6,2.11E-06
483,6low-4,Ampithoe sp.,1,3,0.429,Herbivore,6,3.61E-06
484,poly-6,Gammarus mucronatus,1,2,0.286,Herbivore,9,7.72E-06
485,3high-5,Gammarus mucronatus,1,32,4.576,Herbivore,3,4.29E-08
486,3high-5,Bittium varium,1,5,0.7595,Herbivore,3,1.24E-06
487,mono6-5,Gammarus mucronatus,1,1,0.143,Herbivore,1,2.83E-05
488,mono6-5,Bittium varium,1,1,0.1519,Herbivore,1,2.53E-05
489,3high-4,Bittium varium,1,4,0.6076,Herbivore,3,1.88E-06
490,3high-4,Ampithoe sp.,1,7,1.001,Herbivore,3,7.39E-07
491,mono2-4,Erichsonella attenuata,1,12,1.716,Herbivore,1,2.69E-07
492,mono2-4,Ampithoe sp.,1,2,0.286,Herbivore,1,7.72E-06
493,mono2-6,Erichsonella attenuata,1,2,0.286,Herbivore,1,7.72E-06
494,mono6-2,Bittium varium,1,2,0.3038,Herbivore,1,6.90E-06
495,mono5-4,Ampithoe sp.,1,1,0.143,Herbivore,1,2.83E-05
496,mono4-4,Bittium varium,1,9,1.3671,Herbivore,1,4.12E-07
497,mono4-2,Bittium varium,1,9,1.3671,Herbivore,1,4.12E-07
498,poly-2,Bittium varium,1,3,0.4557,Herbivore,9,3.23E-06
499,mono2-1,Erichsonella attenuata,1,8,1.144,Herbivore,1,5.76E-07
500,mono2-1,Gammarus mucronatus,1,2,0.286,Herbivore,1,7.72E-06
501,mono2-1,Bittium varium,1,1,0.1519,Herbivore,1,2.53E-05
502,mono2-5,Erichsonella attenuata,1,6,0.858,Herbivore,1,9.86E-07
503,mono3-4,Ampithoe sp.,0.71,127,7.3279,Herbivore,1,1.78E-08
504,mono3-4,Gammarus mucronatus,0.71,2,0.1154,Herbivore,1,4.23E-05
505,3low-5,Ampithoe sp.,0.71,12,0.6924,Herbivore,3,1.47E-06
506,3low-5,Ampithoe sp.,0.71,12,0.4616,Herbivore,3,3.15E-06
507,3low-5,Bittium varium,0.71,4,0.2384,Herbivore,3,1.09E-05
508,3low-5,Bittium varium,0.71,4,0.1192,Herbivore,3,3.98E-05
509,3low-5,Ampithoe sp.,0.71,8,0.6924,Herbivore,3,1.47E-06
510,3low-5,Ampithoe sp.,0.71,8,0.4616,Herbivore,3,3.15E-06
511,3low-5,Bittium varium,0.71,2,0.2384,Herbivore,3,1.09E-05
512,3low-5,Bittium varium,0.71,2,0.1192,Herbivore,3,3.98E-05
513,3low-6,Gammarus mucronatus,0.71,24,1.3848,Herbivore,3,4.02E-07
514,6low-5,Ampithoe sp.,0.71,156,9.0012,Herbivore,6,1.21E-08
515,6low-5,Erichsonella attenuata,0.71,1,0.0577,Herbivore,6,0.000154784
516,6low-5,Gammarus mucronatus,0.71,64,3.6928,Herbivore,6,6.41E-08
517,6low-5,Bittium varium,0.71,1,0.0596,Herbivore,6,0.000145671
518,3low-4,Erichsonella attenuata,0.71,1,0.0577,Herbivore,3,0.000154784
519,3low-4,Ampithoe sp.,0.71,81,4.6737,Herbivore,3,4.12E-08
520,3low-4,Gammarus mucronatus,0.71,1,0.0577,Herbivore,3,0.000154784
521,mono3-5,Ampithoe sp.,0.71,47,2.7119,Herbivore,1,1.14E-07
522,mono3-5,Bittium varium,0.71,1,0.0596,Herbivore,1,0.000145671
523,mono1-3,Gammarus mucronatus,0.71,50,2.885,Herbivore,1,1.02E-07
524,mono1-6,Gammarus mucronatus,0.71,144,8.3088,Herbivore,1,0.000000014
525,mono1-6,Ampithoe sp.,0.71,2,0.1154,Herbivore,1,4.23E-05
526,mono3-3,Ampithoe sp.,0.71,21,1.2117,Herbivore,1,5.17E-07
527,mono3-1,Ampithoe sp.,0.71,115,6.6355,Herbivore,1,2.14E-08
528,mono1-1,Gammarus mucronatus,0.71,59,3.4043,Herbivore,1,7.47E-08
529,mono3-2,Ampithoe sp.,0.71,212,12.2324,Herbivore,1,6.80E-09
530,mono1-2,Gammarus mucronatus,0.71,85,4.9045,Herbivore,1,3.77E-08
531,mono1-2,Ampithoe sp.,0.71,3,0.1731,Herbivore,1,1.98E-05
532,mono1-4,Gammarus mucronatus,0.71,56,3.2312,Herbivore,1,8.23E-08
533,mono3-6,Ampithoe sp.,0.71,119,6.8663,Herbivore,1,2.01E-08
534,mono1-5,Gammarus mucronatus,0.71,342,19.7334,Herbivore,1,2.78E-09
535,6low-1,Ampithoe sp.,0.71,6,0.3462,Herbivore,6,5.40E-06
536,mono7-1,Ampithoe sp.,0.71,76,4.3852,Herbivore,1,4.65E-08
537,6high-2,Gammarus mucronatus,0.71,1,0.0577,Herbivore,6,0.000154784
538,3low-3,Gammarus mucronatus,0.71,26,1.5002,Herbivore,3,3.46E-07
539,3low-1,Ampithoe sp.,0.71,117,6.7509,Herbivore,3,2.07E-08
540,3low-1,Bittium varium,0.71,1,0.0596,Herbivore,3,0.000145671
541,poly-4,Bittium varium,0.71,1,0.0596,Herbivore,9,0.000145671
542,poly-4,Ampithoe sp.,0.71,10,0.577,Herbivore,9,0.000002074
543,poly-4,Gammarus mucronatus,0.71,3,0.1731,Herbivore,9,1.98E-05
544,6low-2,Ampithoe sp.,0.71,1,0.0577,Herbivore,6,0.000154784
545,poly-1,Ampithoe sp.,0.71,6,0.3462,Herbivore,9,5.40E-06
546,mono2-2,Erichsonella attenuata,0.71,2,0.1154,Herbivore,1,4.23E-05
547,3low-2,Gammarus mucronatus,0.71,30,1.731,Herbivore,3,0.000000265
548,3high-6,Gammarus mucronatus,0.71,33,1.9041,Herbivore,3,2.22E-07
549,poly-3,Gammarus mucronatus,0.71,1,0.0577,Herbivore,9,0.000154784
550,poly-3,Ampithoe sp.,0.71,1,0.0577,Herbivore,9,0.000154784
551,6low-6,Ampithoe sp.,0.71,4,0.2308,Herbivore,6,1.15E-05
552,6low-4,Erichsonella attenuata,0.71,3,0.1731,Herbivore,6,1.98E-05
553,6low-4,Ampithoe sp.,0.71,1,0.0577,Herbivore,6,0.000154784
554,3high-5,Gammarus mucronatus,0.71,7,0.4039,Herbivore,3,4.05E-06
555,3high-4,Ampithoe sp.,0.71,6,0.3462,Herbivore,3,5.40E-06
556,mono2-4,Erichsonella attenuata,0.71,1,0.0577,Herbivore,1,0.000154784
557,mono2-6,Erichsonella attenuata,0.71,3,0.1731,Herbivore,1,1.98E-05
558,poly-2,Ampithoe sp.,0.71,2,0.1154,Herbivore,9,4.23E-05
559,mono2-1,Erichsonella attenuata,0.71,5,0.2885,Herbivore,1,7.60E-06
560,mono2-5,Erichsonella attenuata,0.71,1,0.0577,Herbivore,1,0.000154784
561,mono3-4,Ampithoe sp.,0.5,54,1.2366,Herbivore,1,4.97E-07
562,3low-5,Ampithoe sp.,0.5,3,0.0687,Herbivore,3,0.000111634
563,3low-5,Ampithoe sp.,0.5,3,0.1374,Herbivore,3,3.05E-05
564,3low-5,Bittium varium,0.5,5,0.1145,Herbivore,3,4.29E-05
565,3low-5,Bittium varium,0.5,5,0.1832,Herbivore,3,1.78E-05
566,3low-5,Ampithoe sp.,0.5,6,0.0687,Herbivore,3,0.000111634
567,3low-5,Ampithoe sp.,0.5,6,0.1374,Herbivore,3,3.05E-05
568,3low-5,Bittium varium,0.5,8,0.1145,Herbivore,3,4.29E-05
569,3low-5,Bittium varium,0.5,8,0.1832,Herbivore,3,1.78E-05
570,3low-6,Gammarus mucronatus,0.5,7,0.1603,Herbivore,3,2.28E-05
571,6low-5,Ampithoe sp.,0.5,40,0.916,Herbivore,6,8.73E-07
572,6low-5,Gammarus mucronatus,0.5,14,0.3206,Herbivore,6,6.23E-06
573,3low-4,Ampithoe sp.,0.5,28,0.6412,Herbivore,3,1.70E-06
574,mono3-5,Ampithoe sp.,0.5,32,0.7328,Herbivore,1,1.33E-06
575,mono1-3,Gammarus mucronatus,0.5,12,0.2748,Herbivore,1,8.32E-06
576,mono1-6,Gammarus mucronatus,0.5,132,3.0228,Herbivore,1,9.33E-08
577,mono3-3,Ampithoe sp.,0.5,9,0.2061,Herbivore,1,1.43E-05
578,mono3-1,Ampithoe sp.,0.5,26,0.5954,Herbivore,1,1.96E-06
579,mono1-1,Gammarus mucronatus,0.5,16,0.3664,Herbivore,1,0.000004855
580,mono3-2,Ampithoe sp.,0.5,34,0.7786,Herbivore,1,1.18E-06
581,mono1-2,Gammarus mucronatus,0.5,30,0.687,Herbivore,1,1.50E-06
582,mono1-4,Gammarus mucronatus,0.5,18,0.4122,Herbivore,1,3.89E-06
583,mono3-6,Ampithoe sp.,0.5,26,0.5954,Herbivore,1,1.96E-06
584,mono1-5,Gammarus mucronatus,0.5,147,3.3663,Herbivore,1,7.62E-08
585,mono7-1,Ampithoe sp.,0.5,43,0.9847,Herbivore,1,7.62E-07
586,6high-2,Gammarus mucronatus,0.5,1,0.0229,Herbivore,6,0.000873777
587,3low-3,Gammarus mucronatus,0.5,63,1.4427,Herbivore,3,3.73E-07
588,3low-1,Ampithoe sp.,0.5,52,1.1908,Herbivore,3,5.34E-07
589,poly-4,Ampithoe sp.,0.5,6,0.1374,Herbivore,9,3.05E-05
590,3low-2,Gammarus mucronatus,0.5,12,0.2748,Herbivore,3,8.32E-06
591,3high-6,Gammarus mucronatus,0.5,12,0.2748,Herbivore,3,8.32E-06
592,mono8-6,Ampithoe sp.,0.5,1,0.0229,Herbivore,1,0.000873777
593,6low-6,Ampithoe sp.,0.5,2,0.0458,Herbivore,6,0.00023856
594,mono2-6,Erichsonella attenuata,0.5,2,0.0458,Herbivore,1,0.00023856
595,mono2-5,Erichsonella attenuata,0.5,2,0.0458,Herbivore,1,0.00023856
596,3high-1,Macroalgae,NA,3,4184.1,Primary producer,3,NA
597,3high-1,Fundulus heteroclitus,NA,1,552.3,Predator,3,NA
598,3high-2,Macroalgae,NA,2,3160.9,Primary producer,3,NA
599,3high-2,Syngnathus spp.,NA,1,115.7,Predator,3,NA
600,3high-3,Macroalgae,NA,3,404,Primary producer,3,NA
601,3high-3,Callinectes sapidus,NA,1,1255.6,Predator,3,NA
602,3high-4,Macroalgae,NA,2,3678.5,Primary producer,3,NA
603,3high-4,Fundulus heteroclitus,NA,1,762.8,Predator,3,NA
604,3high-5,Macroalgae,NA,2,3754.1,Primary producer,3,NA
605,3high-5,Syngnathus spp.,NA,1,83.3,Predator,3,NA
606,3high-6,Macroalgae,NA,3,4453.3,Primary producer,3,NA
607,3low-1,Macroalgae,NA,2,2742.4,Primary producer,3,NA
608,3low-1,Palaemonetes spp.,NA,1,34.1,Predator,3,NA
609,3low-2,Macroalgae,NA,3,1900,Primary producer,3,NA
610,3low-2,Palaemonetes spp.,NA,1,28.4,Predator,3,NA
611,3low-2,Hippolyte pleuracanthus,NA,1,15,Herbivore,3,NA
612,3low-3,Macroalgae,NA,3,4981.1,Primary producer,3,NA
613,3low-3,Callinectes sapidus,NA,1,157.7,Predator,3,NA
614,3low-3,Palaemonetes spp.,NA,1,13.4,Predator,3,NA
615,3low-4,Macroalgae,NA,1,3314.6,Primary producer,3,NA
616,3low-4,Hippolyte pleuracanthus,NA,1,18,Herbivore,3,NA
617,3low-5,Macroalgae,NA,2,4527.4,Primary producer,3,NA
618,3low-5,Callinectes sapidus,NA,1,44.9,Predator,3,NA
619,3low-6,Macroalgae,NA,2,4557.5,Primary producer,3,NA
620,3low-6,Palaemonetes spp.,NA,1,32.7,Predator,3,NA
621,6high-1,Macroalgae,NA,2,4315.2,Primary producer,6,NA
622,6high-1,Callinectes sapidus,NA,1,905.5,Predator,6,NA
623,6high-1,Fundulus heteroclitus,NA,1,759,Predator,6,NA
624,6high-2,Macroalgae,NA,3,4463.6,Primary producer,6,NA
625,6high-2,Fundulus heteroclitus,NA,1,782.4,Predator,6,NA
626,6high-2,Syngnathus spp.,NA,1,62,Predator,6,NA
627,6high-3,Macroalgae,NA,3,5116.6,Primary producer,6,NA
628,6high-3,Fundulus heteroclitus,NA,1,1194,Predator,6,NA
629,6high-3,Syngnathus spp.,NA,1,153.4,Predator,6,NA
630,6high-4,Macroalgae,NA,4,6065.6,Primary producer,6,NA
631,6high-4,Callinectes sapidus,NA,1,899.6,Predator,6,NA
632,6high-4,Fundulus heteroclitus,NA,1,592.6,Predator,6,NA
633,6high-5,Macroalgae,NA,2,4241.2,Primary producer,6,NA
634,6high-5,Callinectes sapidus,NA,1,44.4,Predator,6,NA
635,6high-5,Fundulus heteroclitus,NA,1,635.4,Predator,6,NA
636,6high-6,Macroalgae,NA,3,2670.4,Primary producer,6,NA
637,6high-6,Fundulus heteroclitus,NA,1,948.1,Predator,6,NA
638,6high-6,Syngnathus spp.,NA,1,104.8,Predator,6,NA
639,6low-1,Macroalgae,NA,2,4456.2,Primary producer,6,NA
640,6low-1,Callinectes sapidus,NA,1,217.2,Predator,6,NA
641,6low-1,Fundulus heteroclitus,NA,1,419.5,Predator,6,NA
642,6low-2,Macroalgae,NA,3,4586.2,Primary producer,6,NA
643,6low-2,Palaemonetes spp.,NA,1,32.1,Predator,6,NA
644,6low-2,Fundulus heteroclitus,NA,1,381,Predator,6,NA
645,6low-3,Macroalgae,NA,3,5387.5,Primary producer,6,NA
646,6low-3,Callinectes sapidus,NA,1,109.9,Predator,6,NA
647,6low-3,Palaemonetes spp.,NA,1,75.8,Predator,6,NA
648,6low-3,Fundulus heteroclitus,NA,1,588.8,Predator,6,NA
649,6low-4,Macroalgae,NA,2,5483.1,Primary producer,6,NA
650,6low-4,Callinectes sapidus,NA,1,1589.9,Predator,6,NA
651,6low-4,Palaemonetes spp.,NA,1,35.1,Predator,6,NA
652,6low-4,Fundulus heteroclitus,NA,1,434.1,Predator,6,NA
653,6low-5,Macroalgae,NA,3,3912.6,Primary producer,6,NA
654,6low-5,Palaemonetes spp.,NA,1,104.6,Predator,6,NA
655,6low-6,Macroalgae,NA,2,4620,Primary producer,6,NA
656,6low-6,Callinectes sapidus,NA,1,35.3,Predator,6,NA
657,6low-6,Palaemonetes spp.,NA,1,69.3,Predator,6,NA
658,mono1-3,Macroalgae,NA,3,3294.1,Primary producer,1,NA
659,mono1-1,Macroalgae,NA,3,3127.8,Primary producer,1,NA
660,mono1-2,Macroalgae,NA,1,3964.3,Primary producer,1,NA
661,mono1-4,Macroalgae,NA,3,5610,Primary producer,1,NA
662,mono1-5,Macroalgae,NA,3,4200.4,Primary producer,1,NA
663,mono1-6,Macroalgae,NA,3,4148.4,Primary producer,1,NA
664,mono2-1,Macroalgae,NA,3,4747.6,Primary producer,1,NA
665,mono2-2,Macroalgae,NA,3,4324.1,Primary producer,1,NA
666,mono2-3,Macroalgae,NA,2,3960.8,Primary producer,1,NA
667,mono2-4,Macroalgae,NA,2,4030.8,Primary producer,1,NA
668,mono2-5,Macroalgae,NA,2,4140.7,Primary producer,1,NA
669,mono2-6,Macroalgae,NA,2,4135.8,Primary producer,1,NA
670,mono3-1,Macroalgae,NA,1,804.1,Primary producer,1,NA
671,mono3-2,Macroalgae,NA,1,696.9,Primary producer,1,NA
672,mono3-3,Macroalgae,NA,1,33.6,Primary producer,1,NA
673,mono3-4,Macroalgae,NA,1,1125.7,Primary producer,1,NA
674,mono3-5,Macroalgae,NA,2,3985.1,Primary producer,1,NA
675,mono3-6,Macroalgae,NA,1,2091.5,Primary producer,1,NA
676,mono4-1,Macroalgae,NA,2,4648.3,Primary producer,1,NA
